,Returns_MSFT,Returns_AAPL,inflation_rate
Returns_MSFT,1.0,0.5871220128380505,-0.07017581648356858
Returns_AAPL,0.5871220128380505,1.0,-0.07469865304419436
inflation_rate,-0.07017581648356858,-0.07469865304419436,1.0
