DATE,CORESTICKM159SFRBATL
1968-02-02,3.6533754290344826
1968-02-09,3.6586757206551725
1968-02-16,3.663976012275862
1968-02-23,3.669276303896552
1968-03-01,3.6889273001612906
1968-03-08,3.7946825242903226
1968-03-15,3.900437748419355
1968-03-22,4.006192972548387
1968-03-29,4.111948196677419
1968-04-05,4.1444413283333335
1968-04-12,4.147629623
1968-04-19,4.150817917666667
1968-04-26,4.154006212333334
1968-05-03,4.149287837774194
1968-05-10,4.1340272375806455
1968-05-17,4.118766637387097
1968-05-24,4.103506037193549
1968-05-31,4.088245437
1968-06-07,4.194954349333334
1968-06-14,4.301663261666667
1968-06-21,4.408372174
1968-06-28,4.515081086333333
1968-07-05,4.579038215870968
1968-07-12,4.625894632290323
1968-07-19,4.672751048709677
1968-07-26,4.719607465129032
1968-08-02,4.765562157612903
1968-08-09,4.809262540258064
1968-08-16,4.852962922903226
1968-08-23,4.896663305548387
1968-08-30,4.940363688193548
1968-09-06,4.9469346758
1968-09-13,4.9473174309
1968-09-20,4.9477001860000005
1968-09-27,4.9480829411
1968-10-04,4.9784850910000005
1968-10-11,5.031401787
1968-10-18,5.084318483
1968-10-25,5.137235179
1968-11-01,5.1898188669
1968-11-08,5.2404045062
1968-11-15,5.2909901455
1968-11-22,5.3415757848
1968-11-29,5.3921614241
1968-12-06,5.458799537354839
1968-12-13,5.528113062935484
1968-12-20,5.597426588516129
1968-12-27,5.666740114096774
1969-01-03,5.710204209258064
1969-01-10,5.719202397193548
1969-01-17,5.728200585129032
1969-01-24,5.737198773064516
1969-01-31,5.746196961
1969-02-07,5.7471367385
1969-02-14,5.748076515999999
1969-02-21,5.7490162934999995
1969-02-28,5.749956071
1969-03-07,5.834679053129032
1969-03-14,5.919402035258065
1969-03-21,6.004125017387096
1969-03-28,6.088847999516129
1969-04-04,6.175886191933333
1969-04-11,6.264660792066667
1969-04-18,6.3534353922
1969-04-25,6.442209992333333
1969-05-02,6.5233632308709675
1969-05-09,6.585463065419354
1969-05-16,6.647562899967742
1969-05-23,6.709662734516129
1969-05-30,6.771762569064515
1969-06-06,6.6997003801999995
1969-06-13,6.6052778541
1969-06-20,6.510855328
1969-06-27,6.4164328019
1969-07-04,6.377682471580646
1969-07-11,6.380686288096775
1969-07-18,6.383690104612904
1969-07-25,6.386693921129033
1969-08-01,6.390090488
1969-08-08,6.395843557
1969-08-15,6.401596626
1969-08-22,6.407349695000001
1969-08-29,6.4131027640000005
1969-09-05,6.484748464833333
1969-09-12,6.5827512184
1969-09-19,6.680753971966666
1969-09-26,6.778756725533333
1969-10-03,6.808179076774193
1969-10-10,6.746160891580645
1969-10-17,6.684142706387097
1969-10-24,6.622124521193548
1969-10-31,6.560106336
1969-11-07,6.5314726490999995
1969-11-14,6.502838962199999
1969-11-21,6.474205275299999
1969-11-28,6.4455715884
1969-12-05,6.431708804838709
1969-12-12,6.423754382612903
1969-12-19,6.415799960387097
1969-12-26,6.407845538161291
1970-01-02,6.414435176129032
1970-01-09,6.457384964580645
1970-01-16,6.500334753032258
1970-01-23,6.543284541483871
1970-01-30,6.586234329935484
1970-02-06,6.691249138214285
1970-02-13,6.806608116464286
1970-02-20,6.921967094714286
1970-02-27,7.0373260729642855
1970-03-06,7.042055642354839
1970-03-13,7.028346976935484
1970-03-20,7.014638311516129
1970-03-27,7.0009296460967745
1970-04-03,6.975570322
1970-04-10,6.934676786333333
1970-04-17,6.893783250666666
1970-04-24,6.852889715
1970-05-01,6.822028326483871
1970-05-08,6.851359820870967
1970-05-15,6.880691315258064
1970-05-22,6.910022809645161
1970-05-29,6.939354304032258
1970-06-05,6.981774749833333
1970-06-12,7.0294307762
1970-06-19,7.077086802566666
1970-06-26,7.124742828933333
1970-07-03,7.138029762645161
1970-07-10,7.105491239483871
1970-07-17,7.072952716322581
1970-07-24,7.04041419316129
1970-07-31,7.00787567
1970-08-07,7.032036195967741
1970-08-14,7.056196721935484
1970-08-21,7.080357247903225
1970-08-28,7.104517773870968
1970-09-04,7.1103910522
1970-09-11,7.1025488948
1970-09-18,7.0947067374
1970-09-25,7.08686458
1970-10-02,7.079738859387097
1970-10-09,7.074404230741935
1970-10-16,7.069069602096774
1970-10-23,7.063734973451613
1970-10-30,7.058400344806452
1970-11-06,7.1116346168
1970-11-13,7.1746303722333336
1970-11-20,7.237626127666667
1970-11-27,7.300621883100001
1970-12-04,7.329563449032259
1970-12-11,7.33296437283871
1970-12-18,7.336365296645162
1970-12-25,7.3397662204516125
1971-01-01,7.332106353290322
1971-01-08,7.258081740322581
1971-01-15,7.184057127354839
1971-01-22,7.110032514387097
1971-01-29,7.036007901419355
1971-02-05,6.892491398964286
1971-02-12,6.721178140714286
1971-02-19,6.549864882464286
1971-02-26,6.3785516242142855
1971-03-05,6.1960571549677415
1971-03-12,6.00909020132258
1971-03-19,5.822123247677419
1971-03-26,5.635156294032258
1971-04-02,5.488584624933333
1971-04-09,5.4430011672
1971-04-16,5.397417709466667
1971-04-23,5.351834251733334
1971-04-30,5.306250794
1971-05-07,5.250708829516129
1971-05-14,5.195166865032258
1971-05-21,5.139624900548387
1971-05-28,5.084082936064516
1971-06-04,5.084135298866666
1971-06-11,5.125883407133333
1971-06-18,5.1676315154
1971-06-25,5.209379623666667
1971-07-02,5.234415474935484
1971-07-09,5.217670683709678
1971-07-16,5.2009258924838715
1971-07-23,5.184181101258065
1971-07-30,5.167436310032258
1971-08-06,5.116381606161291
1971-08-13,5.0596085835161295
1971-08-20,5.0028355608709685
1971-08-27,4.9460625382258065
