,DATE,GDP,gdp_scaled
0,1947-01-31,243.164,-0.9354963678975644
1,1947-04-30,245.968,-0.9351208080630812
2,1947-07-31,249.585,-0.9346363573065456
3,1947-10-31,259.745,-0.9332755556238247
4,1948-01-31,265.742,-0.9324723343943683
5,1948-04-30,272.567,-0.9315582131852571
6,1948-07-31,279.196,-0.9306703436621512
7,1948-10-31,280.366,-0.9305136371691607
8,1949-01-31,275.034,-0.9312277901782422
9,1949-04-30,271.351,-0.9317210807882285
10,1949-07-31,272.889,-0.9315150854153913
11,1949-10-31,270.627,-0.9318180513018396
12,1950-01-31,280.828,-0.9304517581950054
13,1950-04-30,290.383,-0.9291719885022498
14,1950-07-31,308.153,-0.9267919249292231
15,1950-10-31,319.945,-0.9252125377793566
16,1951-01-31,336.0,-0.9230621764588759
17,1951-04-30,344.09,-0.921978624725292
18,1951-07-31,351.385,-0.9210015530446376
19,1951-10-31,356.178,-0.9203595921720706
20,1952-01-31,359.82,-0.9198717929861977
21,1952-04-30,361.03,-0.9197097290062674
22,1952-07-31,367.701,-0.9188162341218745
23,1952-10-31,380.812,-0.9170601838401665
24,1953-01-31,387.98,-0.916100122180546
25,1953-04-30,391.749,-0.9155953129736392
26,1953-07-31,391.171,-0.9156727286599199
27,1953-10-31,385.97,-0.9163693358992734
28,1954-01-31,385.345,-0.9164530466327084
29,1954-04-30,386.121,-0.9163491113860754
30,1954-07-31,390.996,-0.9156961676652817
31,1954-10-31,399.734,-0.9145258246432724
32,1955-01-31,413.073,-0.9127392366860072
33,1955-04-30,421.532,-0.9116062621354033
34,1955-07-31,430.221,-0.9104424820348953
35,1955-10-31,437.092,-0.9095221997158033
36,1956-01-31,439.746,-0.9091667304573445
37,1956-04-30,446.01,-0.9083277480025647
38,1956-07-31,451.191,-0.9076338195066811
39,1956-10-31,460.463,-0.9063919540340248
40,1957-01-31,469.779,-0.9051441953257348
41,1957-04-30,472.025,-0.9048433724340624
42,1957-07-31,479.49,-0.9038435314339136
43,1957-10-31,474.864,-0.9044631247985069
